Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
828	-4800.455	-4911.811	111.3562	0.7215444	1.269617	7.200961
834	-4796.119	-4905.637	109.5179	0.8003069	1.308941	8.124858
840	-4805.551	-4915.933	110.3823	0.7640051	1.193343	7.735016
846	-4801.83	-4914.363	112.5335	0.7772633	1.32477	6.511466
852	-4802.823	-4913.628	110.8052	0.687629	1.258233	7.519822
858	-4804.64	-4916.657	112.0172	0.8101861	1.68349	6.630377
864	-4794.725	-4907.228	112.5028	0.6965741	1.23538	6.611875
870	-4806.597	-4917.061	110.4641	0.7219394	1.320332	7.656619
876	-4805.132	-4915.787	110.6545	0.6818699	1.402038	7.541541
882	-4796.146	-4907.874	111.7284	0.7469298	1.182288	7.027413
888	-4796.989	-4909.236	112.2472	0.7433771	1.484037	6.618113
894	-4801.761	-4912.65	110.8887	0.7963476	1.419449	7.347495
900	-4795.297	-4904.947	109.65	0.6759287	1.274684	8.135781
906	-4795.082	-4907.25	112.1687	0.8268977	1.252074	6.714379
912	-4792.654	-4903.634	110.9806	0.7271501	1.393361	7.346088
918	-4795.641	-4907.229	111.5883	0.6252687	1.182712	7.16801
924	-4802.465	-4912.969	110.5041	0.6605996	1.164534	7.73882
930	-4808.993	-4919.33	110.3378	0.8300546	1.093465	7.771807
936	-4806.249	-4918.363	112.1139	0.8181912	1.205521	6.770221
942	-4810.353	-4922.381	112.0276	0.8322037	1.368539	6.736478
948	-4798.08	-4910.019	111.9394	0.7545606	1.158067	6.921231
954	-4811.234	-4923.11	111.875	0.6987522	1.125881	7.001661
960	-4797.415	-4909.924	112.509	0.7339304	1.325017	6.548091
966	-4801.255	-4912.945	111.6903	0.7940841	1.472168	6.896208
972	-4792.365	-4903.754	111.3882	0.7001432	1.362335	7.154776
978	-4795.348	-4906.503	111.1546	0.7158711	1.261906	7.315715
984	-4801.322	-4912.48	111.1578	0.7127159	1.261906	7.315715
990	-4789.74	-4901.034	111.2943	0.8144829	1.437704	7.112405
996	-4798.226	-4910.616	112.39	0.7751937	1.192705	6.650307
1002	-4807.5	-4919.28	111.7793	0.839558	1.248252	6.919442
1008	-4799.58	-4909.436	109.8561	0.6968589	1.37156	7.972959
1014	-4801.185	-4911.191	110.0065	0.6989784	1.187895	7.972959
1020	-4795.401	-4906.061	110.6596	0.7007338	1.296269	7.573885
1026	-4797.726	-4909.171	111.4451	0.7960212	1.275472	7.110479
1032	-4805.393	-4916.868	111.4747	0.7527151	1.265112	7.122517
1038	-4804.276	-4915.484	111.2079	0.8084308	1.424187	7.167661
1044	-4817.94	-4929.586	111.6464	0.6819339	1.192226	7.101787
1050	-4819.696	-4931.688	111.9918	0.808692	1.478446	6.723098
1056	-4808.432	-4919.806	111.3739	0.6450533	1.309571	7.21482
1062	-4806.88	-4918.442	111.5623	0.6460116	1.541439	7.017655
1068	-4801.072	-4911.424	110.3525	0.6988714	1.229634	7.768984
1074	-4802.408	-4912.867	110.4591	0.6002551	1.220281	7.768984
1080	-4801.249	-4913.262	112.0129	0.7580074	1.058186	6.929586
1086	-4806.277	-4917.107	110.8291	0.7864511	1.304843	7.433395
1092	-4797.577	-4908.372	110.7956	0.740283	1.197656	7.524588
1098	-4800.175	-4912.517	112.3419	0.6491612	1.408814	6.648574
1104	-4803.92	-4913.811	109.8902	0.6053596	1.180797	8.088224
1110	-4810.741	-4920.687	109.9465	0.6722028	1.369569	7.93871
1116	-4816.872	-4929.213	112.341	0.8453797	1.470104	6.517786
1122	-4808.258	-4920.341	112.0827	0.754961	1.098734	6.872963
1128	-4804.062	-4915.903	111.8415	0.8271811	1.291887	6.872963
1134	-4812.027	-4922.418	110.391	0.6276963	1.395436	7.714304
1140	-4796.158	-4908.33	112.172	0.733564	1.188936	6.792344
1146	-4796.92	-4908.996	112.0755	0.7697236	1.15837	6.83954
1152	-4804.832	-4916.605	111.7738	0.7475965	1.045541	7.070535
1158	-4803.106	-4914.183	111.0771	0.8683216	1.48943	7.179437
1164	-4799.093	-4909.916	110.8238	0.7006404	1.470229	7.413065
1170	-4788.802	-4899.71	110.9074	0.8196225	1.21712	7.413065
1176	-4801.286	-4910.987	109.7014	0.7785099	1.21712	8.079707
1182	-4802.075	-4913.732	111.6566	0.7929103	1.21712	7.024962
1188	-4805.95	-4915.157	109.207	0.7807635	1.185511	8.356379
1194	-4799.807	-4909.471	109.6643	0.7058176	1.336887	8.085132
1200	-4813.675	-4926.468	112.7925	0.7817635	1.343237	6.360561
1206	-4814.22	-4926.139	111.9182	0.9147407	1.169782	6.840643
1212	-4805.843	-4917.68	111.8372	0.7475441	1.475774	6.840643
1218	-4801.131	-4912.693	111.5622	0.8004784	1.286819	7.040058
1224	-4804.137	-4915.766	111.6293	0.7333719	1.286819	7.040058
1230	-4800.432	-4910.992	110.5608	0.6519612	1.077024	7.756058
1236	-4800.136	-4910.66	110.5237	0.6605804	1.447954	7.604202
1242	-4808.632	-4920.635	112.0029	0.7323968	1.227491	6.86616
1248	-4813.45	-4925.906	112.4557	0.8692693	1.408925	6.467825
1254	-4798.687	-4910.159	111.4711	0.6701261	1.314465	7.146951
1260	-4798.352	-4910.197	111.8452	0.7409648	1.334701	6.898669
1266	-4798.033	-4907.158	109.1253	0.7495548	1.493113	8.284968
1272	-4790.961	-4902.014	111.0536	0.805072	1.389171	7.266846
1278	-4798.689	-4910.875	112.1859	0.8719417	1.405126	6.613997
1284	-4810.28	-4922.628	112.3474	0.9189766	1.250779	6.568573
1290	-4806.271	-4918.587	112.3164	0.8699756	1.267563	6.604228
1296	-4809.139	-4921.363	112.2241	0.8699756	1.159436	6.704655
1302	-4803.427	-4914.088	110.6606	0.7462374	1.332689	7.533138
1308	-4816.777	-4927.922	111.1452	0.7706558	1.332689	7.26014
1314	-4818.416	-4929.173	110.7568	0.7341103	1.177102	7.558303
1320	-4814.768	-4926.304	111.5359	0.6509119	1.404089	7.084261
1326	-4802.546	-4914.894	112.3479	0.8211025	1.221794	6.634596
1332	-4801.455	-4913.52	112.0648	0.6638106	1.113785	6.92425
1338	-4795.038	-4907.283	112.2456	0.7810392	1.261956	6.693124
1344	-4803.998	-4914.782	110.7835	0.626472	1.460824	7.478152
1350	-4795.475	-4906.138	110.6629	0.5817777	1.326731	7.622514
1356	-4802.064	-4913.361	111.2973	0.816437	1.326731	7.156408
1362	-4796.004	-4906.251	110.247	0.7390317	1.519377	7.681963
1368	-4802.392	-4914.074	111.6812	0.6861948	1.255521	7.051546
1374	-4811.815	-4922.349	110.5345	0.8019156	1.487008	7.507123
1380	-4801.107	-4912.147	111.04	0.8115111	1.487008	7.230851
1386	-4799.81	-4910.077	110.2679	0.7342117	1.428524	7.709531
1392	-4808.029	-4920.333	112.3042	0.7342117	1.453619	6.604529
1398	-4803.495	-4915.148	111.6528	0.7366049	1.440784	6.9601
1404	-4810.458	-4920.964	110.5064	0.7984053	1.296549	7.60347
1410	-4811.181	-4921.723	110.542	0.7602765	1.22142	7.638591
1416	-4801.597	-4912.268	110.6716	0.7674528	1.269793	7.543447
1422	-4804.901	-4915.731	110.8299	0.6955735	1.248025	7.506962
1428	-4809.513	-4920.952	111.4392	0.7161002	1.197159	7.192517
1434	-4804.781	-4916.655	111.8746	0.7356298	1.326213	6.889387
1440	-4802.874	-4914.505	111.6306	0.7509383	1.290692	7.02817
1446	-4809.072	-4919.367	110.2949	0.6092632	1.372348	7.785136
1452	-4789.616	-4900.835	111.2188	0.6681998	1.138684	7.36449
1458	-4796.618	-4908.934	112.3159	0.7526598	1.202115	6.698105
1464	-4803.163	-4915.725	112.5624	0.7362252	1.368485	6.499168
1470	-4803.785	-4915.198	111.4122	0.8196897	1.252647	7.125737
1476	-4797.223	-4908.317	111.094	0.7826135	1.322035	7.285829
1482	-4804.431	-4916.286	111.8547	0.9042875	1.29523	6.822751
1488	-4804.698	-4915.063	110.3647	0.6999789	1.399312	7.688092
1494	-4810.192	-4920.599	110.4073	0.6768024	1.32875	7.707498
1500	-4806.462	-4916.658	110.1957	0.696223	1.240084	7.849423
1506	-4805.042	-4916.623	111.5813	0.696223	1.302916	7.07872
1512	-4805.848	-4916.626	110.7778	0.6224478	1.186458	7.602427
